"filename", "language", "Python", "XML", "QSS", "Markdown", "HTML", "SQL", "JSON", "CSV", "C++", "comment", "blank", "total"
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-07_07-35-54\details.md", "Markdown", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 6, 60
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-07_07-35-54\diff-details.md", "Markdown", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 6, 62
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-07_07-35-54\diff.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 49
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-07_07-35-54\diff.md", "Markdown", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 7, 24
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-07_07-35-54\results.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 47
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-07_07-35-54\results.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-07_07-35-54\results.md", "Markdown", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 7, 21
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-07_07-38-41\details.md", "Markdown", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 6, 43
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-07_07-38-41\diff-details.md", "Markdown", 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 6, 88
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-07_07-38-41\diff.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 75
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-07_07-38-41\diff.md", "Markdown", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 7, 24
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-07_07-38-41\results.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 30
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-07_07-38-41\results.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-07_07-38-41\results.md", "Markdown", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 7, 21
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-15_22-15-59\details.md", "Markdown", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 6, 62
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-15_22-15-59\diff-details.md", "Markdown", 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 6, 90
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-15_22-15-59\diff.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 77
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-15_22-15-59\diff.md", "Markdown", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 7, 24
