Date : 2022-08-10 11:37:36
Directory : f:\pr\yobi-desktop\Single_User
Total : 206 files,  305003 codes, 2446 comments, 15668 blanks, all 323117 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Python   |        105 |    196,479 |      2,236 |      5,044 |    203,759 |
| XML      |         54 |     44,622 |          1 |        888 |     45,511 |
| HTML     |          4 |     39,546 |         58 |      6,327 |     45,931 |
| C++      |          2 |     18,906 |         22 |      3,170 |     22,098 |
| Markdown |         22 |      2,289 |          0 |        133 |      2,422 |
| CSV      |         10 |      1,802 |          0 |          0 |      1,802 |
| QSS      |          3 |      1,289 |        129 |        106 |      1,524 |
| SQL      |          1 |         65 |          0 |          0 |         65 |
| JSON     |          5 |          5 |          0 |          0 |          5 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                 |        206 |    305,003 |      2,446 |     15,668 |    323,117 |
| .VSCodeCounter                                                                    |         35 |      4,066 |          0 |        130 |      4,196 |
| .VSCodeCounter\2022-04-07_07-35-54                                                |          7 |        238 |          0 |         26 |        264 |
| .VSCodeCounter\2022-04-07_07-38-41                                                |          7 |        256 |          0 |         26 |        282 |
| .VSCodeCounter\2022-04-15_22-15-59                                                |          7 |        298 |          0 |         26 |        324 |
| .VSCodeCounter\2022-04-19_21-39-58                                                |          7 |      2,071 |          0 |         26 |      2,097 |
| .VSCodeCounter\2022-04-21_20-31-10                                                |          7 |      1,203 |          0 |         26 |      1,229 |
| .qt_for_python                                                                    |         17 |     66,472 |        179 |        136 |     66,787 |
| .qt_for_python\rcc                                                                |         17 |     66,472 |        179 |        136 |     66,787 |
| UIC                                                                               |         46 |     63,162 |         22 |      4,054 |     67,238 |
| build                                                                             |          1 |     38,746 |          0 |      6,292 |     45,038 |
| build\yobi                                                                        |          1 |     38,746 |          0 |      6,292 |     45,038 |
| circular_progress                                                                 |          2 |         64 |         39 |         17 |        120 |
| images                                                                            |          3 |          5 |          0 |          1 |          6 |
| images\icons                                                                      |          1 |          1 |          0 |          0 |          1 |
| images\images                                                                     |          2 |          4 |          0 |          1 |          5 |
| modules                                                                           |         75 |     74,692 |      1,293 |      4,130 |     80,115 |
| modules\contextmanager                                                            |          1 |         13 |          4 |          1 |         18 |
| modules\exceptions                                                                |          1 |          0 |          0 |          1 |          1 |
| modules\frontend                                                                  |         43 |     70,532 |        736 |      3,523 |     74,791 |
| modules\retry                                                                     |          1 |         27 |         18 |          7 |         52 |
| themes                                                                            |          2 |        866 |         86 |         71 |      1,023 |
| widgets                                                                           |          3 |        184 |         44 |         31 |        259 |
| widgets\custom_grips                                                              |          2 |        183 |         29 |         29 |        241 |
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                          | language | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-07_07-35-54\details.md      | Markdown |         54 |          0 |          6 |         60 |
| f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-07_07-35-54\diff-details.md | Markdown |         56 |          0 |          6 |         62 |
| f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-07_07-35-54\diff.csv        | CSV      |         49 |          0 |          0 |         49 |
| f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-07_07-35-54\diff.md         | Markdown |         17 |          0 |          7 |         24 |
| f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-07_07-35-54\results.csv     | CSV      |         47 |          0 |          0 |         47 |
| f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-07_07-35-54\results.json    | JSON     |          1 |          0 |          0 |          1 |
| f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-07_07-35-54\results.md      | Markdown |         14 |          0 |          7 |         21 |
| f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-07_07-38-41\details.md      | Markdown |         37 |          0 |          6 |         43 |
| f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-07_07-38-41\diff-details.md | Markdown |         82 |          0 |          6 |         88 |
| f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-07_07-38-41\diff.csv        | CSV      |         75 |          0 |          0 |         75 |
| f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-07_07-38-41\diff.md         | Markdown |         17 |          0 |          7 |         24 |
| f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-07_07-38-41\results.csv     | CSV      |         30 |          0 |          0 |         30 |
| f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-07_07-38-41\results.json    | JSON     |          1 |          0 |          0 |          1 |
| f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-07_07-38-41\results.md      | Markdown |         14 |          0 |          7 |         21 |
| f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-15_22-15-59\details.md      | Markdown |         56 |          0 |          6 |         62 |
| f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-15_22-15-59\diff-details.md | Markdown |         84 |          0 |          6 |         90 |
| f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-15_22-15-59\diff.csv        | CSV      |         77 |          0 |          0 |         77 |
| f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-15_22-15-59\diff.md         | Markdown |         17 |          0 |          7 |         24 |
| f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-15_22-15-59\results.csv     | CSV      |         49 |          0 |          0 |         49 |
| f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-15_22-15-59\results.json    | JSON     |          1 |          0 |          0 |          1 |
| f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-15_22-15-59\results.md      | Markdown |         14 |          0 |          7 |         21 |
| f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-19_21-39-58\details.md      | Markdown |        451 |          0 |          6 |        457 |
| f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-19_21-39-58\diff-details.md | Markdown |        498 |          0 |          6 |        504 |
| f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-19_21-39-58\diff.csv        | CSV      |        491 |          0 |          0 |        491 |
| f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-19_21-39-58\diff.md         | Markdown |         94 |          0 |          7 |        101 |
| f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-19_21-39-58\results.csv     | CSV      |        444 |          0 |          0 |        444 |
| f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-19_21-39-58\results.json    | JSON     |          1 |          0 |          0 |          1 |
| f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-19_21-39-58\results.md      | Markdown |         92 |          0 |          7 |         99 |
| f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-21_20-31-10\details.md      | Markdown |         56 |          0 |          6 |         62 |
| f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-21_20-31-10\diff-details.md | Markdown |        498 |          0 |          6 |        504 |
| f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-21_20-31-10\diff.csv        | CSV      |        491 |          0 |          0 |        491 |
| f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-21_20-31-10\diff.md         | Markdown |         94 |          0 |          7 |        101 |
| f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-21_20-31-10\results.csv     | CSV      |         49 |          0 |          0 |         49 |
| f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-21_20-31-10\results.json    | JSON     |          1 |          0 |          0 |          1 |
| f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-21_20-31-10\results.md      | Markdown |         14 |          0 |          7 |         21 |
| f:\pr\yobi-desktop\Single_User\.qt_for_python\rcc\animatedtiles.py                | Python   |      6,072 |         29 |          8 |      6,109 |
| f:\pr\yobi-desktop\Single_User\.qt_for_python\rcc\appchooser.py                   | Python   |      1,410 |          7 |          8 |      1,425 |
| f:\pr\yobi-desktop\Single_User\.qt_for_python\rcc\application.py                  | Python   |        596 |          5 |          8 |        609 |
| f:\pr\yobi-desktop\Single_User\.qt_for_python\rcc\basicdrawing.py                 | Python   |        124 |          4 |          8 |        136 |
| f:\pr\yobi-desktop\Single_User\.qt_for_python\rcc\books.py                        | Python   |         77 |          4 |          8 |         89 |
| f:\pr\yobi-desktop\Single_User\.qt_for_python\rcc\classwizard.py                  | Python   |      2,297 |         12 |          8 |      2,317 |
| f:\pr\yobi-desktop\Single_User\.qt_for_python\rcc\diagramscene.py                 | Python   |        405 |          5 |          8 |        418 |
| f:\pr\yobi-desktop\Single_User\.qt_for_python\rcc\dockwidgets.py                  | Python   |        453 |          4 |          8 |        465 |
| f:\pr\yobi-desktop\Single_User\.qt_for_python\rcc\dragdroprobot.py                | Python   |        959 |          9 |          8 |        976 |
| f:\pr\yobi-desktop\Single_User\.qt_for_python\rcc\draggabletext.py                | Python   |         46 |          4 |          8 |         58 |
| f:\pr\yobi-desktop\Single_User\.qt_for_python\rcc\gallery.py                      | Python   |      7,978 |         12 |          8 |      7,998 |
| f:\pr\yobi-desktop\Single_User\.qt_for_python\rcc\mdi.py                          | Python   |        596 |          5 |          8 |        609 |
| f:\pr\yobi-desktop\Single_User\.qt_for_python\rcc\res.py                          | Python   |         90 |          4 |          8 |        102 |
| f:\pr\yobi-desktop\Single_User\.qt_for_python\rcc\resources.py                    | Python   |     36,056 |         36 |          8 |     36,100 |
| f:\pr\yobi-desktop\Single_User\.qt_for_python\rcc\systray.py                      | Python   |      2,556 |         18 |          8 |      2,582 |
| f:\pr\yobi-desktop\Single_User\.qt_for_python\rcc\textedit.py                     | Python   |      6,007 |         16 |          8 |      6,031 |
| f:\pr\yobi-desktop\Single_User\.qt_for_python\rcc\textures.py                     | Python   |        750 |          5 |          8 |        763 |
| f:\pr\yobi-desktop\Single_User\Capture.ico.svg                                    | XML      |          1 |          0 |          0 |          1 |
