"filename", "language", "Python", "XML", "comment", "blank", "total"
"f:\pr\Stats-Production\UIC\Fixedexpenseedit.ui", "XML", 0, -264, 0, -4, -268
"f:\pr\Stats-Production\UIC\add_ledger.ui", "XML", 0, -598, 0, -40, -638
"f:\pr\Stats-Production\UIC\addstock.ui", "XML", 0, -721, 0, -3, -724
"f:\pr\Stats-Production\UIC\bizdetail.ui", "XML", 0, -183, 0, -3, -186
"f:\pr\Stats-Production\UIC\coa.ui", "XML", 0, -655, 0, -40, -695
"f:\pr\Stats-Production\UIC\currentassetsedit.ui", "XML", 0, -264, 0, -4, -268
"f:\pr\Stats-Production\UIC\customer.ui", "XML", 0, -1303, 0, -42, -1345
"f:\pr\Stats-Production\UIC\fixedassetsedit.ui", "XML", 0, -264, 0, -4, -268
"f:\pr\Stats-Production\UIC\fixedexpenseadd.ui", "XML", 0, -221, 0, -3, -224
"f:\pr\Stats-Production\UIC\income_edit.ui", "XML", 0, -260, 0, -4, -264
"f:\pr\Stats-Production\UIC\journalentry.ui", "XML", 0, -629, 0, -40, -669
"f:\pr\Stats-Production\UIC\login.ui", "XML", 0, -372, 0, -1, -373
"f:\pr\Stats-Production\UIC\longtermliabilitiesedit.ui", "XML", 0, -264, 0, -4, -268
"f:\pr\Stats-Production\UIC\main.ui", "XML", 0, -17711, 0, -169, -17880
"f:\pr\Stats-Production\UIC\profile.ui", "XML", 0, -931, 0, -41, -972
"f:\pr\Stats-Production\UIC\purchase_order.ui", "XML", 0, -584, 0, -40, -624
"f:\pr\Stats-Production\UIC\resources.qrc", "XML", 0, -267, 0, -1, -268
"f:\pr\Stats-Production\UIC\sales_return.ui", "XML", 0, -922, 0, -38, -960
"f:\pr\Stats-Production\UIC\salesadd.ui", "XML", 0, -195, 0, -3, -198
"f:\pr\Stats-Production\UIC\salesedit.ui", "XML", 0, -271, 0, -3, -274
"f:\pr\Stats-Production\UIC\shorttermliabilitiesedit.ui", "XML", 0, -264, 0, -4, -268
"f:\pr\Stats-Production\UIC\splash.ui", "XML", 0, -193, 0, -7, -200
