"filename", "language", "Properties", "pip requirements", "Python", "JSON", "Docker", "Markdown", "YAML", "XML", "HTML", "SCSS", "JavaScript", "CSS", "comment", "blank", "total"
"f:\pr\Stats-Production\Yobi-Frontend-master\CHANGELOG.md", "Markdown", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 17, 67
"f:\pr\Stats-Production\Yobi-Frontend-master\Dockerfile", "Docker", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 4, 7, 19
"f:\pr\Stats-Production\Yobi-Frontend-master\LICENSE.md", "Markdown", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 8, 33
"f:\pr\Stats-Production\Yobi-Frontend-master\README.md", "Markdown", 0, 0, 0, 0, 0, 193, 0, 0, 0, 0, 0, 0, 0, 70, 263
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\authentication\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 5
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\authentication\admin.py", "Python", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 9
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\authentication\config.py", "Python", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 12
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\authentication\forms.py", "Python", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 61
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\authentication\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 5
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\authentication\models.py", "Python", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 9
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\authentication\tests.py", "Python", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 9
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\authentication\urls.py", "Python", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 15
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\authentication\views.py", "Python", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15, 57
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\config.py", "Python", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
