"filename", "language", "Python", "comment", "blank", "total"
"f:\pr\Stats-Production\modules\Table_resizeing.py", "Python", 104, 3, 20, 127
"f:\pr\Stats-Production\modules\__init__.py", "Python", 7, 19, 5, 31
"f:\pr\Stats-Production\modules\accounts.py", "Python", 534, 90, 85, 709
"f:\pr\Stats-Production\modules\app_functions.py", "Python", 8, 32, 4, 44
"f:\pr\Stats-Production\modules\app_settings.py", "Python", 9, 7, 2, 18
"f:\pr\Stats-Production\modules\bills.py", "Python", 113, 2, 9, 124
"f:\pr\Stats-Production\modules\charts.py", "Python", 355, 24, 70, 449
"f:\pr\Stats-Production\modules\circular_progress.py", "Python", 63, 27, 16, 106
"f:\pr\Stats-Production\modules\combo_search.py", "Python", 20, 0, 11, 31
"f:\pr\Stats-Production\modules\imageconversion.py", "Python", 68, 1, 16, 85
"f:\pr\Stats-Production\modules\orders_function.py", "Python", 569, 7, 77, 653
"f:\pr\Stats-Production\modules\payment.py", "Python", 905, 5, 69, 979
"f:\pr\Stats-Production\modules\purchase_order.py", "Python", 35, 1, 4, 40
"f:\pr\Stats-Production\modules\refresh.py", "Python", 76, 10, 12, 98
"f:\pr\Stats-Production\modules\refresh_dashboard.py", "Python", 24, 3, 5, 32
"f:\pr\Stats-Production\modules\resources_rc.py", "Python", 36056, 36, 8, 36100
"f:\pr\Stats-Production\modules\st_database.py", "Python", 48, 1, 5, 54
"f:\pr\Stats-Production\modules\tests.py", "Python", 58, 1, 11, 70
"f:\pr\Stats-Production\modules\top_user_box.py", "Python", 179, 139, 44, 362
"f:\pr\Stats-Production\modules\ui_Fixedexpenseedit.py", "Python", 181, 10, 42, 233
"f:\pr\Stats-Production\modules\ui_add_ledger.py", "Python", 610, 10, 24, 644
"f:\pr\Stats-Production\modules\ui_addstock.py", "Python", 232, 24, 60, 316
"f:\pr\Stats-Production\modules\ui_bills.py", "Python", 627, 10, 36, 673
"f:\pr\Stats-Production\modules\ui_bizdetail.py", "Python", 108, 10, 31, 149
"f:\pr\Stats-Production\modules\ui_coa.py", "Python", 637, 10, 38, 685
"f:\pr\Stats-Production\modules\ui_currentassetsedit.py", "Python", 181, 10, 42, 233
"f:\pr\Stats-Production\modules\ui_fixedassetsedit.py", "Python", 181, 10, 42, 233
"f:\pr\Stats-Production\modules\ui_fixedexpenseadd.py", "Python", 101, 10, 9, 120
"f:\pr\Stats-Production\modules\ui_functions.py", "Python", 176, 72, 39, 287
"f:\pr\Stats-Production\modules\ui_income_edit.py", "Python", 183, 10, 44, 237
"f:\pr\Stats-Production\modules\ui_journalentry.py", "Python", 630, 10, 32, 672
"f:\pr\Stats-Production\modules\ui_login.py", "Python", 130, 10, 24, 164
"f:\pr\Stats-Production\modules\ui_longtermliabilitiesedit.py", "Python", 181, 10, 42, 233
"f:\pr\Stats-Production\modules\ui_main.py", "Python", 8303, 144, 1580, 10027
"f:\pr\Stats-Production\modules\ui_payment.py", "Python", 206, 10, 32, 248
"f:\pr\Stats-Production\modules\ui_profile.py", "Python", 702, 16, 46, 764
"f:\pr\Stats-Production\modules\ui_purchase_order.py", "Python", 604, 10, 20, 634
"f:\pr\Stats-Production\modules\ui_sales_return.py", "Python", 694, 16, 48, 758
"f:\pr\Stats-Production\modules\ui_salesadd.py", "Python", 93, 10, 9, 112
"f:\pr\Stats-Production\modules\ui_salesedit.py", "Python", 127, 10, 43, 180
"f:\pr\Stats-Production\modules\ui_shorttermliabilitiesadd.py", "Python", 53, 10, 9, 72
"f:\pr\Stats-Production\modules\ui_shorttermliabilitiesedit.py", "Python", 181, 10, 42, 233
"f:\pr\Stats-Production\modules\ui_splash.py", "Python", 90, 10, 11, 111
"f:\pr\Stats-Production\modules\ui_taxsettingsui.py", "Python", 930, 34, 48, 1012
"f:\pr\Stats-Production\modules\ui_update.py", "Python", 822, 30, 74, 926
"f:\pr\Stats-Production\modules\ui_variableexpenseadd.py", "Python", 101, 10, 9, 120
"f:\pr\Stats-Production\modules\ui_variableexpenseedit.py", "Python", 181, 10, 42, 233
"Total", "-", 56476, 954, 2991, 60421
